month,cadastre_raw_level,cadastre_smooth_level,cadastre_raw_abs_change,cadastre_raw_pct_change,cadastre_smooth_abs_change,cadastre_smooth_pct_change
2016-10-01,275050,274989.3939393939,81.81818181817653,2.975550890185197e-4,46.969696969666984,1.7083466510880996e-4
2016-11-01,275104.54545454547,275040.9090909091,54.54545454547042,1.9831105088341516e-4,51.51515151519561,1.873350487349157e-4
2016-12-01,275218.1818181818,275124.24242424243,113.63636363635305,4.1306610709979097e-4,83.33333333331393,3.0298523084715256e-4
2017-01-01,274181.8181818182,274834.8484848485,-1036.363636363647,-0.0037656074519389904,-289.39393939392176,-0.0010518663744203405
2017-02-01,274040.9090909091,274480.30303030304,-140.90909090905916,-5.139257294428656e-4,-354.5454545454704,-0.0012900309276645539
2017-03-01,270050,272757.57575757575,-3990.9090909091174,-0.01456318731443551,-1722.727272727294,-0.006276323851686749
2017-04-01,261845.45454545456,268645.4545454546,-8204.545454545441,-0.030381579168840767,-4112.121212121157,-0.015076102655260382
2017-05-01,261350,264415.1515151515,-495.4545454545587,-0.0018921640106933646,-4230.303030303097,-0.015746788038758064
2017-06-01,261618.18181818182,261604.54545454547,268.1818181818235,0.0010261404942866204,-2810.60606060602,-0.010629519694694833
2017-07-01,261868.18181818182,261612.12121212122,250,9.555910765168818e-4,7.575757575745229,2.8958814773494268e-5
2017-08-01,261613.63636363635,261700,-254.54545454547042,-9.720365902345929e-4,87.87878787878435,3.359125237454297e-4
2017-09-01,262190.9090909091,261890.9090909091,577.2727272727643,0.002206585005646966,190.90909090908826,7.294959530343981e-4
2017-10-01,263772.7272727273,262525.75757575757,1581.8181818181765,0.006033077909919804,634.8484848484804,0.002424095158752193
2017-11-01,264095.45454545453,263353.03030303033,322.7272727272357,0.0012235050835773809,827.2727272727643,0.003151205942274249
2017-12-01,267181.8181818182,265016.6666666667,3086.363636363647,0.01168654584258455,1663.636363636353,0.006317133931293961
2018-01-01,271568.1818181818,267615.1515151515,4386.363636363647,0.016417148690030636,2598.4848484848044,0.009804986536009475
2018-02-01,273231.8181818182,270660.6060606061,1663.636363636353,0.006126035651518924,3045.454545454588,0.011379978032679317
2018-03-01,277177.2727272727,273992.42424242425,3945.4545454545296,0.014439952754071506,3331.8181818181765,0.012309948722541986
2018-04-01,279045.45454545453,276484.84848484845,1868.1818181818235,0.006740025254595938,2492.4242424241966,0.009096690353084025
2018-05-01,281418.1818181818,279213.63636363635,2372.727272727294,0.008503013520117397,2728.7878787879017,0.009869574747917609
2018-06-01,283827.2727272727,281430.30303030304,2409.0909090908826,0.00856053753714936,2216.666666666686,0.00793896277966799
2018-07-01,285759.0909090909,283668.1818181818,1931.8181818181765,0.006806316261490641,2237.8787878787844,0.007951804634335424
2018-08-01,287695.45454545453,285760.606060606,1936.363636363647,0.006776210094326052,2092.4242424241966,0.007376309281544202
2018-09-01,289968.1818181818,287807.57575757575,2272.727272727294,0.007899767746828212,2046.9696969697252,0.007163232627437788
2018-10-01,292490.9090909091,290051.51515151514,2522.727272727294,0.008700014108131038,2243.939393939392,0.00779666549093716
2018-11-01,293436.36363636365,291965.15151515155,945.4545454545296,0.0032324236961520647,1913.6363636364113,0.0065975740986450315
2018-12-01,295559.0909090909,293828.7878787879,2122.7272727272357,0.007234029369849404,1863.636363636353,0.0063830780967009115
2019-01-01,296090.9090909091,295028.7878787879,531.8181818182347,0.0017993633022164168,1200,0.004084010993827603
2019-02-01,298145.45454545453,296598.48484848486,2054.545454545412,0.0069389008289835186,1569.6969696969609,0.005320487471689894
2019-03-01,303909.0909090909,299381.8181818182,5763.636363636353,0.019331625808025388,2783.333333333314,0.009384179203596243
2019-04-01,306300,302784.84848484845,2390.9090909091174,0.007867185163027202,3403.030303030275,0.011366856957771398
2019-05-01,309150,306453.0303030303,2850,0.00930460333006855,3668.1818181818235,0.012114812998528901
2019-06-01,311600,309016.6666666667,2450,0.007924955523208821,2563.6363636364113,0.008365511547075988
2019-07-01,313877.2727272727,311542.42424242425,2277.272727272706,0.007308320690862402,2525.7575757575687,0.008173531877754936
2019-08-01,317472.7272727273,314316.6666666667,3595.454545454588,0.011454969371352597,2774.2424242424313,0.008904862414769177
2019-09-01,321381.8181818182,317577.2727272727,3909.0909090908826,0.01231315503121233,3260.60606060602,0.010373634001609844
2019-10-01,326990.9090909091,321948.48484848486,5609.090909090941,0.017453043675039748,4371.2121212121565,0.013764247307980426
2019-11-01,333681.8181818182,327351.51515151514,6690.909090909059,0.02046206455558952,5403.030303030275,0.016782282126822423
2019-12-01,341450,334040.9090909091,7768.1818181818235,0.02328020705625944,6689.39393939398,0.020434895302982703
2020-01-01,343372.7272727273,339501.51515151514,1922.727272727294,0.005631065376269673,5460.60606060602,0.016347117709226255
2020-02-01,347172.7272727273,343998.48484848486,3800,0.011066691376982352,4496.969696969725,0.013245801553971814
2020-03-01,349190.9090909091,346578.7878787879,2018.1818181818235,0.005813192280499591,2580.303030303039,0.007500913939895826
2020-04-01,349190.9090909091,348518.1818181818,0,0,1939.3939393939218,0.005595824116253256
2020-05-01,345781.8181818182,348054.54545454547,-3409.090909090941,-0.009762828356460473,-463.63636363635305,-0.0013303075358008787
2020-06-01,342109.0909090909,345693.9393939394,-3672.727272727294,-0.010621516458092395,-2360.6060606060782,-0.0067822876943705035
2020-07-01,336309.0909090909,341400,-5800,-0.016953656462585065,-4293.939393939392,-0.012421216876024488
2020-08-01,332572.7272727273,336996.96969696967,-3736.3636363635887,-0.01110990971508874,-4403.030303030333,-0.012896983898741499
2020-09-01,332027.2727272727,333636.36363636365,-545.4545454545878,-0.001640106060192048,-3360.60606060602,-0.00997221447904384
2020-10-01,329718.1818181818,331439.3939393939,-2309.0909090908826,-0.006954521808175573,-2196.969696969725,-0.006584922797456927
2020-11-01,327100,329615.1515151515,-2618.1818181818235,-0.007940665582177653,-1824.2424242424313,-0.005504000000000064
2020-12-01,328104.54545454547,328307.57575757575,1004.5454545454704,0.003071065284455665,-1307.5757575757452,-0.003966977099096214
2021-01-01,326563.63636363635,327256.0606060606,-1540.9090909091174,-0.004696396658493085,-1051.5151515151374,-0.003202835478556154
2021-02-01,325445.45454545453,326704.54545454547,-1118.1818181818235,-0.0034240855186237207,-551.5151515151374,-0.0016852710091717071
